id	status	category	source	translation	placeholders	first_file	first_line	occurrences	notes
maw-d1e85b725202	untranslated	class	directionX			Scripts/General/zzClasses.lua	866	1	
maw-4c7f9ddae830	untranslated	class	directionY			Scripts/General/zzClasses.lua	866	1	
maw-ee2cd572baee	untranslated	class	"Dragons scales are hard enough to work as natural armor, gaining naturally 40 + 1 AC per level (up to level 600).
Scales further enhance their toughness and resistance to magical damage, increasing the thoughness by a percentage.

------------------------------------------------------------
          AC%| Res%"			Scripts/General/zzClasses.lua	807	1	
maw-5d3f344b5bd2	untranslated	class	duration			Scripts/General/zzClasses.lua	866	1	
maw-9d6d1bb8b10c	untranslated	class	Elder 			Scripts/General/zzClasses.lua	96	1	
maw-0fb88bcef8a5	untranslated	class	GetArmorClass			Scripts/General/AdaptiveMonstersStats.lua	1041	1	
maw-8a3559daa477	untranslated	class	Increases Armor Class  by 5+(0.5 x Power) for 6 Hours			Scripts/General/zzAlchemy.lua	482	1	
maw-1c6884f089f2	untranslated	class	Merc			Scripts/General/NPCMercenaries.lua	756	1	
maw-eeec8e860233	untranslated	class	Resistances			Scripts/General/zzClasses.lua	472	1	
maw-b301c10b3d0a	untranslated	class	Shoot			Scripts/General/zzClasses.lua	833	2	
maw-edea0f29be7d	untranslated	class	Shoot         +			Scripts/General/zzClasses.lua	829	1	
maw-1d87c39c6baa	untranslated	class	StackCost			Scripts/General/zzClasses.lua	2180	21	
maw-aeddfe22a01f	untranslated	class	Tick			Scripts/General/zzClasses.lua	1484	3	
maw-417ced4d83f0	untranslated	class	totalDuration			Scripts/General/zzClasses.lua	866	1	
maw-b0b73dfa2619	untranslated	class	totalForce			Scripts/General/zzClasses.lua	866	1	
maw-f099e38eb393	untranslated	class	Ultimate 			Scripts/General/zzClasses.lua	98	1	
maw-ae24a945c0d5	untranslated	item	"

Artifact Level: "			Scripts/General/zzMaw-Items.lua	2500	1	
maw-0968edf89220	untranslated	item	"

Bonus AC: "			Scripts/General/zzMAW-Skills.lua	605	1	
maw-b11fcd927849	untranslated	item	"

Celestial Items cannot be upgraded with crafting Gems or Cubes, but scale with player level, up to level 1000."			Scripts/General/zzMaw-Items.lua	2814	1	
maw-f051a63b6b28	untranslated	item	"

Celestial Items cannot be upgraded with crafting Gems or Cubes, but scale with player level, up to level 600."			Scripts/General/zzMaw-Items.lua	2812	1	
maw-0c5e39bde9d5	untranslated	item	"

Current AC from items: "			Scripts/General/zzMAW-Skills.lua	597	1	
maw-4b6f075b0000	untranslated	item	"

Item Bonus Power: "			Scripts/General/zzMaw-Items.lua	1839	1	
maw-04e85c28a52b	untranslated	item	"

Item Modifier:
Two Handed Weapons: "			Scripts/General/zzAlchemy.lua	719	1	
maw-74f707e4e26c	untranslated	item	"

Level Required: "			Scripts/General/zzMaw-Items.lua	2802	1	
maw-d2fe0a0a69aa	untranslated	item	"

Scale with player level, up to level 550."			Scripts/General/zzMaw-Items.lua	2495	1	
maw-82210a28ed56	untranslated	item	"

Scale with player level, up to level 900."			Scripts/General/zzMaw-Items.lua	2497	1	
maw-02219f4d1f51	untranslated	item	"
Attack Speed: "			Scripts/General/zzMaw-Items.lua	2552	2	
maw-45425af9f0d2	untranslated	item	 +X			Scripts/General/zzMaw-Items.lua	1705	1	
maw-5c2d44bdc878	untranslated	item	 - Corrupted item #			Scripts/General/zzMaw-Item-Sorter.lua	720	1	
maw-296498801eda	untranslated	item	 Armor.			Scripts/General/zzMaw-Items.lua	2051	1	
maw-70364f2b0837	untranslated	item	 attacks and +			Scripts/General/zzMaw-Items.lua	2049	1	
maw-0b7385a3815f	untranslated	item	 Aura: adds 			Scripts/General/zzMaw-Items.lua	4699	1	
maw-d7e3a56e8341	untranslated	item	 Body and mind Resistances.			Scripts/General/zzMaw-Items.lua	2068	1	
maw-511c96a0a13d	untranslated	item	 Elemental Resistances.			Scripts/General/zzMaw-Items.lua	2067	1	
maw-8e704db26d0b	untranslated	item	 Endurance and			Scripts/General/zzMaw-Items.lua	2051	1	
maw-b3c25ac9c926	untranslated	item	 Endurance and Accuracy.			Scripts/General/zzMaw-Items.lua	2055	1	
maw-15e8e8dd4092	untranslated	item	 Endurance and Regenerate Hit points over time.			Scripts/General/zzMaw-Items.lua	2057	1	
maw-6eb59489bcbb	untranslated	item	" Fire Damage to any attack

"			Scripts/General/zzMaw-Items.lua	4699	1	
maw-fc9d83e4d0ea	untranslated	item	 Fire Resistance and Regenerate Hit points over time.			Scripts/General/zzMaw-Items.lua	2053	1	
maw-76e2c8fd1d31	untranslated	item	 Hit points and Regenerate Hit points over time.			Scripts/General/zzMaw-Items.lua	2047	1	
maw-fc6baca8cc26	untranslated	item	 in bag #			Scripts/General/zzMaw-Item-Sorter.lua	720	1	
maw-ac1801ec9062	untranslated	item	 Intellect and Accuracy.			Scripts/General/zzMaw-Items.lua	2065	1	
maw-3d01fd505175	untranslated	item	 Intellect and Luck.			Scripts/General/zzMaw-Items.lua	2052	1	
maw-5f49ae2cff07	untranslated	item	 Intellect and Might.			Scripts/General/zzMaw-Items.lua	2064	1	
maw-30f6831e8be1	untranslated	item	 Intellect and personality.			Scripts/General/zzMaw-Items.lua	2043	1	
maw-0826b5837c0d	untranslated	item	 Intellect and Personality.			Scripts/General/zzMaw-Items.lua	2060	1	
maw-80a597fa3ad2	untranslated	item	 Luck and Meditation Skill +			Scripts/General/zzMaw-Items.lua	2058	1	
maw-2554f3fab686	untranslated	item	 Might and Endurance.			Scripts/General/zzMaw-Items.lua	2059	1	
maw-9035db916f00	untranslated	item	 Might and Personality.			Scripts/General/zzMaw-Items.lua	2056	1	
maw-5fc62aed3ea9	untranslated	item	 Might)			Scripts/General/zzMaw-Items.lua	2482	1	
maw-28aa2eb8321b	untranslated	item	 Might, Intellect and Personality.			Scripts/General/zzMaw-Items.lua	2066	1	
maw-7b209315ce2c	untranslated	item	 Might.			Scripts/General/zzMaw-Items.lua	2049	1	
maw-bf5ae86ec0be	untranslated	item	 Personality and Accuracy.			Scripts/General/zzMaw-Items.lua	2063	1	
maw-f4fee4b943a6	untranslated	item	 points of Body damage.			Scripts/General/zzMaw-Items.lua	2028	3	
maw-e9dd7c845b7f	untranslated	item	 points of Cold damage.			Scripts/General/zzMaw-Items.lua	2019	3	
maw-9de181b6a180	untranslated	item	 points of Electrical damage.			Scripts/General/zzMaw-Items.lua	2022	3	
maw-c941da9681f6	untranslated	item	 points of Fire damage to 			Scripts/General/zzMaw-Items.lua	2049	1	
maw-cb37086b123d	untranslated	item	 points of Fire damage.			Scripts/General/zzMaw-Items.lua	2025	3	
maw-502b11b83731	untranslated	item	 Speed and Accuracy.			Scripts/General/zzMaw-Items.lua	2048	1	
maw-ea9d75896707	untranslated	item	 Spell points and Meditation Skill +			Scripts/General/zzMaw-Items.lua	2050	1	
maw-5400706c64aa	untranslated	item	 Spell Points)			Scripts/General/zzMaw-Items.lua	2483	1	
maw-0ccb272bfaf5	untranslated	item	 Spell points, Speed, Intellect.			Scripts/General/zzMaw-Items.lua	2054	1	
maw-b18b796a1706	untranslated	item	 to all Resistances.			Scripts/General/zzMaw-Items.lua	2017	1	
maw-a5f8e6eb0d8a	untranslated	item	 to all Seven Statistics.			Scripts/General/zzMaw-Items.lua	2018	1	
maw-1996ede22cbc	untranslated	item	 to Endurance, Armor, Hit points.			Scripts/General/zzMaw-Items.lua	2046	1	
maw-10b488c55e16	untranslated	item	 to Seven Stats, HP, SP, Armor, Resistances.			Scripts/General/zzMaw-Items.lua	2045	2	
maw-a9eab90264a9	untranslated	item	 to spell damage and +			Scripts/General/zzMaw-Items.lua	2043	1	
maw-d6e950b44a53	untranslated	item	% craft items drop chances 		% c	Scripts/General/zzMaw-Maps.lua	2086	1	
maw-a49609a5231f	untranslated	item	% item quality 		% i	Scripts/General/zzMaw-Maps.lua	2086	1	
maw-abdb923af06a	untranslated	item	% monster density			Scripts/General/zzMaw-Maps.lua	2086	1	
maw-9638f701de3f	untranslated	item	(%d+)		%d	Scripts/General/zzMaw-Items.lua	2492	1	
maw-ac71687e6681	untranslated	item	7item192			Scripts/General/zzMaw-Spells.lua	3289	1	
maw-2c40f0c45c24	untranslated	item	7item193			Scripts/General/zzMaw-Spells.lua	3290	1	
maw-ef99c680a737	untranslated	item	^%u		%u	Scripts/General/zzMaw-Items.lua	1713	1	
maw-25b6b3a71f27	untranslated	item	AC gained from armors is doubled			Scripts/General/zzMaw-Items.lua	1385	1	
maw-12a3a4f498b2	translated	item	Accuracy	정확도		Data/Tables/Class Starting Stats.txt	10	4	MMMerge PO 정확 일치 + 표시 문맥 확인
maw-cf1ac5aea579	untranslated	item	Adds 			Scripts/General/zzMaw-Items.lua	2019	14	
maw-ddd068101243	untranslated	item	Air			Scripts/General/zzMaw-Items.lua	4258	1	
maw-2b43cb83d2c0	untranslated	item	Air Magic Skill +			Scripts/General/zzMaw-Items.lua	2032	1	
maw-fc703d7f3f16	translated	item	Air Resistance	공기 저항		Data/Tables/Spells2.txt	16	3	MMMerge PO 정확 일치 + 표시 문맥 확인
maw-85c3b29e673f	translated	item	Alchemy skill	연금술 기술		Scripts/General/zzMaw-Items.lua	1876	2	MMMerge PO 정확 일치 + 표시 문맥 확인
maw-c4c29e7aed76	untranslated	item	Ally			Scripts/General/zzMaw-Monsters.lua	2326	3	
maw-a7c94b10b666	untranslated	item	Ancient			Scripts/General/zzMaw-Items.lua	461	2	
maw-d1745b2ab5cc	untranslated	item	Ancient 			Scripts/General/zzMaw-Items.lua	1733	1	
maw-8261e56f515b	untranslated	item	Armor Class			Scripts/General/zzMaw-Items.lua	1869	2	
maw-ff2b4cfa1b74	untranslated	item	Armor: +			Scripts/General/zzMaw-Items.lua	1478	2	
maw-1b811f3888ba	untranslated	item	ArmorClass			Scripts/General/zzMaw-Items.lua	4258	2	
maw-65e9268e6bfb	translated	item	Armsmaster skill	무기 전문가 기술		Scripts/General/zzMaw-Items.lua	1881	2	MMMerge PO 정확 일치 + 표시 문맥 확인
maw-0487dae31788	untranslated	item	Ascended Amber			Scripts/General/zzMaw-Items.lua	4565	1	
maw-58750c204795	untranslated	item	Ascended Amethyst			Scripts/General/zzMaw-Items.lua	4565	1	
maw-8f508775a894	untranslated	item	Ascended Diamond			Scripts/General/zzMaw-Items.lua	4565	1	
maw-dbc37444ee2e	untranslated	item	Ascended Purple Amethyst			Scripts/General/zzMaw-Items.lua	4565	1	
maw-bef685960d0b	untranslated	item	Ascended Ruby			Scripts/General/zzMaw-Items.lua	4565	1	
maw-60347ffcca9c	untranslated	item	Ascended Sapphire			Scripts/General/zzMaw-Items.lua	4565	1	
maw-0828378541e3	untranslated	item	Ascended Topaz			Scripts/General/zzMaw-Items.lua	4565	1	
maw-249a5adae437	untranslated	item	Attack: +			Scripts/General/zzMaw-Items.lua	1506	2	
maw-03619d622196	untranslated	item	Base enchants on this items are 50% stronger		% s	Scripts/General/zzMaw-Items.lua	1376	1	
maw-718a7e8a582e	untranslated	item	Body			Scripts/General/zzMaw-Items.lua	4258	1	
maw-bee8f9b9eeaf	untranslated	item	Body Magic Skill +			Scripts/General/zzMaw-Items.lua	2033	1	
maw-2657e3448e5a	translated	item	Body Resistance	육체 저항		Data/Tables/Spells2.txt	71	3	MMMerge PO 정확 일치 + 표시 문맥 확인
maw-e8e87b3b9240	untranslated	item	BodyLocation			Scripts/General/zzMaw-Items.lua	2713	2	
maw-4d963cfab70d	untranslated	item	Bonus			Scripts/General/zzMaw-Item-Sorter.lua	87	8	
maw-a2d599d80f9d	untranslated	item	Bonus AC: 			Scripts/General/zzMAW-Skills.lua	598	1	
maw-10e8a7da9eec	untranslated	item	Bonus Resistances: 			Scripts/General/zzMAW-Skills.lua	599	2	
maw-56e435683ee1	untranslated	item	Bonus2			Scripts/General/zzMaw-Item-Sorter.lua	88	7	
maw-8fac58419cfd	untranslated	item	BonusExpireTime			Scripts/General/zzMaw-Item-Sorter.lua	89	7	
maw-b659b7855673	untranslated	item	BonusStrength			Scripts/General/zzMaw-Item-Sorter.lua	90	7	
maw-e7798b6dd88c	untranslated	item	book4			Scripts/General/zzMaw-Spells.lua	3289	1	
maw-3dcc9179f8c4	untranslated	item	book5			Scripts/General/zzMaw-Spells.lua	3290	1	
maw-a17942232101	untranslated	item	Bow			Scripts/General/zzMaw-Items.lua	1996	1	
maw-3ad465ce2b95	untranslated	item	Broken			Scripts/General/zzMaw-Item-Sorter.lua	91	7	
maw-997cc0e16c99	untranslated	item	"Buffs reserve Hit Points instead of Mana and Hit Point coefficient is used instead.
Enlightenment bonus still apply."			Scripts/General/zzMaw-Items.lua	1389	1	
maw-b3f2de61a46f	untranslated	item	BuildItemInformationBox			Scripts/Structs/extraEditableDescriptions.lua	165	1	
maw-1d3419544e86	untranslated	item	CalcItemValue			Scripts/Structs/extraEditableDescriptions.lua	103	1	
maw-81c77df4cdd0	untranslated	item	CalcStatBonusByItems			Scripts/Core/events.lua	1869	1	
maw-e2ed9286499b	untranslated	item	CanIdentifyItem			Scripts/General/ExtraEvents.lua	421	1	
maw-4abcee850355	untranslated	item	CanRepairItem			Scripts/General/ExtraEvents.lua	450	1	
maw-d024bd3137d0	untranslated	item	Celestial 			Scripts/General/zzMaw-Items.lua	1737	1	
maw-cfc370a20b05	untranslated	item	Charges			Scripts/General/zzMaw-Item-Sorter.lua	92	7	
maw-7de90a65241a	untranslated	item	Common			Scripts/General/zzMaw-Items.lua	461	2	
maw-2f4979324e03	untranslated	item	Condition			Scripts/General/zzMaw-Item-Sorter.lua	93	7	
maw-f032f4de767e	untranslated	item	Crafting Item			Scripts/General/zzAlchemy.lua	1410	1	
maw-5cc5b9edc5f5	untranslated	item	Crit chance increased by 10% and crit chance over 100% increases total damage		% a % i	Scripts/General/zzMaw-Items.lua	1368	1	
maw-f0321970a081	untranslated	item	curse			Scripts/General/zzMaw-Items.lua	1255	1	
maw-6c3828d38527	untranslated	item	Damage: 			Scripts/General/zzMaw-Items.lua	1506	2	
maw-71db089ac027	untranslated	item	Dark Magic Skill +			Scripts/General/zzMaw-Items.lua	2034	1	
maw-4f14c08f988e	untranslated	item	death			Scripts/General/zzMaw-Items.lua	1261	1	
maw-c45e1332c406	untranslated	item	Death and Eradication Immunity			Scripts/General/zzMaw-Items.lua	1281	1	
maw-7505d64a54e0	untranslated	item	default			Scripts/General/pseudoSpawnpoint.lua	55	5	
maw-154f885b3a41	untranslated	item	Dimension Map			Scripts/General/zzMaw-Maps.lua	1914	1	
maw-76af4ec46125	translated	item	Disarm skill	함정 해제 기술		Scripts/General/zzMaw-Items.lua	1878	2	MMMerge PO 정확 일치 + 표시 문맥 확인
maw-4be181e4cac8	untranslated	item	disease			Scripts/General/zzMaw-Items.lua	1255	3	
maw-ba1ff3be0f0c	untranslated	item	Disease and Curse Immunity			Scripts/General/zzMaw-Items.lua	1275	1	
maw-4312a8a1998a	untranslated	item	Divine protection (instead of dying you go back to 25% HP, once every 5 minutes)			Scripts/General/zzMaw-Items.lua	1369	1	
maw-7966506e0c12	translated	item	Dodge skill	회피 기술		Scripts/General/zzMaw-Items.lua	1882	2	MMMerge PO 정확 일치 + 표시 문맥 확인
maw-40089dc04e07	untranslated	item	Each attack reduces monster resistances by 1			Scripts/General/zzMaw-Items.lua	1386	1	
maw-4d7b02dec590	untranslated	item	Earth Magic Skill +			Scripts/General/zzMaw-Items.lua	2035	1	
maw-f3b8bd9acc81	translated	item	Earth Resistance	대지 저항		Data/Tables/Spells2.txt	38	3	MMMerge PO 정확 일치 + 표시 문맥 확인
maw-ac75574810d6	untranslated	item	Endless Potion			Scripts/General/zzAlchemy.lua	1419	1	
maw-cf6427142652	untranslated	item	Endurance			Data/Tables/Class Starting Stats.txt	8	4	
maw-b3efd0d2dd50	untranslated	item	Epic			Scripts/General/zzMaw-Items.lua	461	2	
maw-1c32a92d0070	untranslated	item	eradication			Scripts/General/zzMaw-Items.lua	1261	1	
maw-54c81b0a7634	untranslated	item	Explosive Impact! (half damage)			Scripts/General/zzMaw-Items.lua	1274	2	
maw-78baebfcb4b5	untranslated	item	Fire			Scripts/General/zzMaw-Items.lua	4258	2	
maw-135db21bffe1	untranslated	item	Fire Magic Skill +			Scripts/General/zzMaw-Items.lua	2036	1	
maw-a31e37313d09	translated	item	Fire Resistance	화염 저항		Data/Tables/Spells2.txt	5	3	MMMerge PO 정확 일치 + 표시 문맥 확인
maw-245eb6d90c4a	untranslated	item	Flame			Scripts/General/zzMaw-Items.lua	4696	1	
maw-cb147017e84e	untranslated	item	FullHP,ArmorClass,MoveSpeed,Attack2Chance,Spell,Spell2,SpellChance,SpellSkill,Spell2Chance,Spell2Skill,SpecialA,SpecialB,SpecialC,SpecialD,Experience,TreasureItemPercent,TreasureItemLevel,Level			Scripts/General/AdaptiveMonstersStats.lua	459	1	
maw-fc1a8c583492	untranslated	item	GenerateItem			Scripts/Core/events.lua	2192	1	
maw-030499ca0810	untranslated	item	GetItemName			Scripts/Structs/extraEditableDescriptions.lua	310	1	
maw-72a7fd92863d	untranslated	item	GotItem			Scripts/General/ExtraEvents.lua	112	2	
maw-f50c8c159fdc	untranslated	item	"Grant 1 enchant to an unenchanted item, based on potion Power.
Require at least 20 power to work.
"			Scripts/General/zzAlchemy.lua	486	1	
maw-965850f0c879	translated	item	Great might	강대한 힘		Scripts/General/zzMaw-Items.lua	1884	1	MMMerge PO 정확 일치 + 표시 문맥 확인
maw-4ccaf5230f3a	untranslated	item	Greater Heal			Scripts/General/zzMaw-Items.lua	2350	5	
maw-bdec310b7e9d	untranslated	item	Hardened			Scripts/General/zzMaw-Item-Sorter.lua	94	7	
maw-5a3199f1e727	untranslated	item	Heavy, yet seemingly light as a feather in skilled hands, Excalibur confers great might upon its wielder.  Opponents do not easily walk away from blows struck by this legendary weapon.  (Special Powers:  +			Scripts/General/zzMaw-Items.lua	2482	1	
maw-125dcf82b273	translated	item	Hit Points	생명력		Scripts/General/zzMaw-Items.lua	1867	4	MMMerge PO 정확 일치 + 표시 문맥 확인
maw-3a8bda48988f	translated	item	ID Item skill	아이템 감정 기술		Scripts/General/zzMaw-Items.lua	1879	2	MMMerge PO 정확 일치 + 표시 문맥 확인
maw-73ef8997e9d8	translated	item	ID Monster skill	몬스터 감정 기술		Scripts/General/zzMaw-Items.lua	1880	2	MMMerge PO 정확 일치 + 표시 문맥 확인
maw-dbdb8b7d61ff	untranslated	item	Identified			Scripts/General/zzMaw-Item-Sorter.lua	95	7	
maw-9bf0f8ff5f5d	untranslated	item	identify			Scripts/General/zzMaw-Items.lua	4533	4	
maw-eaa6a5241bcd	untranslated	item	Immunity to all status effects from monsters			Scripts/General/zzMaw-Items.lua	1367	1	
maw-d377d83f7ddd	untranslated	item	Increase melee damage by 5% for each enemy in the nearbies		% f	Scripts/General/zzMaw-Items.lua	1377	1	
maw-569ea1cd4f01	untranslated	item	Increase Melee weapon skill by 10			Scripts/General/zzMaw-Items.lua	1390	1	
maw-87498a8b590b	untranslated	item	Increase the effect of resistances base enchants by 50%			Scripts/General/zzMaw-Items.lua	1371	1	
maw-2032e6152f7f	untranslated	item	Increases Ascension Skill level by 10			Scripts/General/zzMaw-Items.lua	1381	1	
maw-d2147f191411	untranslated	item	"Increases item's roughness, making it more resistant to breaking.
"			Scripts/General/zzAlchemy.lua	484	1	
maw-a159cdb85f6f	untranslated	item	insanity			Scripts/General/zzMaw-Items.lua	1256	1	
maw-f951f6d3da95	untranslated	item	Insanity and SP drain Immunity			Scripts/General/zzMaw-Items.lua	1276	1	
maw-e8d4bafc56e1	untranslated	item	Intellect			Data/Tables/Class Starting Stats.txt	4	4	
maw-869d847d171a	untranslated	item	item182			Scripts/General/zzAlchemy.lua	7	1	
maw-203104e1992f	untranslated	item	item209			Scripts/General/zzMaw-Spells.lua	3290	1	
maw-14c265704093	untranslated	item	item210			Scripts/General/zzMaw-Spells.lua	3289	1	
maw-c7857a25fa7f	untranslated	item	item280			Scripts/General/zzAlchemy.lua	1422	1	
maw-ee2105329f31	untranslated	item	ItemAdditionalDamage			Scripts/Core/events.lua	2342	1	
maw-51d750b72c62	untranslated	item	ItemGenerated			Scripts/Core/events.lua	2196	1	
maw-44d25b5d1b6d	untranslated	item	Items			Scripts/General/zzAlchemy.lua	1303	36	
maw-3e1561e2a89a	untranslated	item	Killing a Monster Restores 10% of Health and Mana		% o	Scripts/General/zzMaw-Items.lua	1380	1	
maw-e77589efb2dc	untranslated	item	Killing a monster with a single-target attack halves the recovery time			Scripts/General/zzMaw-Items.lua	1365	1	
maw-a8b7dd52190d	untranslated	item	Leech also restores Mana, but its effect is halved			Scripts/General/zzMaw-Items.lua	1388	1	
maw-9b1a119b3361	untranslated	item	Leech overhealing heals the most injured party member instead			Scripts/General/zzMaw-Items.lua	1384	1	
maw-b7e8916505bf	untranslated	item	Legendary			Scripts/General/zzMaw-Items.lua	461	2	
maw-888b9e5fb8ac	untranslated	item	Legendary 			Scripts/General/zzMaw-Items.lua	1739	1	
maw-2f14d8a3258f	untranslated	item	Light Magic Skill +			Scripts/General/zzMaw-Items.lua	2037	1	
maw-a520c0870cdf	untranslated	item	Locate item			Scripts/Global/Quest_SavingGoobers.lua	856	1	
maw-d219c68101f5	untranslated	item	Location			Scripts/General/zzMaw-MultiBag.lua	197	1	
maw-e7f79931cf1c	untranslated	item	Longsword			Scripts/General/zzMaw-Items.lua	333	1	
maw-1c295a8aa571	untranslated	item	Luck			Scripts/General/zzMaw-Items.lua	1866	2	
maw-099db9f7dc17	untranslated	item	LUCK			Scripts/General/zzMaw-Items.lua	4258	1	
maw-b2efd3606c37	untranslated	item	Mace			Scripts/General/zzMaw-Items.lua	332	1	
maw-054968202fd2	untranslated	item	MaxCharges			Scripts/General/zzMaw-Item-Sorter.lua	96	7	
maw-25f6d1027234	untranslated	item	Meditation Skill +			Scripts/General/zzMaw-Items.lua	2042	1	
maw-e00694b1e25c	untranslated	item	Melee			Scripts/General/zzClasses.lua	273	14	
maw-9da77c5e4939	translated	item	Might	힘		Data/Tables/Class Starting Stats.txt	2	4	MMMerge PO 정확 일치 + 표시 문맥 확인
maw-af6bcff046a9	untranslated	item	Might and accuracy enchantments give 40% bonus to intellect and personality. Intellect and personality enchantments give 40% bonus to might and accuracy			Scripts/General/zzMaw-Items.lua	1366	1	
maw-59e63f7eaa79	untranslated	item	Mind			Scripts/General/zzMaw-Items.lua	4258	1	
maw-d7656b362ecd	untranslated	item	Mind Magic Skill +			Scripts/General/zzMaw-Items.lua	2038	1	
maw-02ecc9e1eddf	translated	item	Mind Resistance	정신 저항		Data/Tables/Spells2.txt	60	3	MMMerge PO 정확 일치 + 표시 문맥 확인
maw-cad3f5488931	untranslated	item	ModifyItemDamage			Scripts/Core/events.lua	2120	1	
maw-ecd1f5dff9ef	untranslated	item	MonsterDropItem			Scripts/General/ExtraEvents.lua	520	1	
maw-b7baa1d40c4e	untranslated	item	Number			Scripts/General/zzMaw-Item-Sorter.lua	97	21	
maw-c31a27bb2371	untranslated	item	oldLocation			Scripts/General/zzMaw-MultiBag.lua	198	1	
maw-16526080ac01	untranslated	item	"Oracle's Orb is a mysterious and powerful artifact, a large, purple orb with a haunting face suspended within its core. This enigmatic relic is known for storing legendary abilities upon items it enchants.

 Adds the following legendary power to an item:"			Scripts/General/zzAlchemy.lua	1404	1	
maw-1166118ad010	untranslated	item	Overhealing reduces recovery time equal to half overhealing amount			Scripts/General/zzMaw-Items.lua	1392	1	
maw-f637a0178b30	untranslated	item	Overhealing refunds mana			Scripts/General/zzMaw-Items.lua	1391	1	
maw-89ff31225c5f	untranslated	item	Owner			Scripts/General/zzMaw-Item-Sorter.lua	98	6	
maw-67ef38a8a121	untranslated	item	paralysis			Scripts/General/zzMaw-Items.lua	1257	1	
maw-f190f3f1357e	untranslated	item	Paralysis and fear Immunity			Scripts/General/zzMaw-Items.lua	1277	1	
maw-2981a383917f	translated	item	Personality	인격		Data/Tables/Class Starting Stats.txt	6	4	MMMerge PO 정확 일치 + 표시 문맥 확인
maw-e6aa09fd40ce	untranslated	item	poison			Scripts/General/zzMaw-Items.lua	1258	3	
maw-ff11ae2fd1e0	untranslated	item	Poison and weakness Immunity			Scripts/General/zzMaw-Items.lua	1278	1	
maw-0fff6c603c71	untranslated	item	Potion Bottle			Scripts/General/zzAlchemy.lua	1420	1	
maw-d5f5800b1e69	untranslated	item	Potion Deleted in Austerity			Scripts/General/zzAlchemy.lua	17	3	
maw-ce1b7d972262	untranslated	item	Potion Deleted in MAW			Scripts/General/zzAlchemy.lua	11	1	
maw-b573f24e55d6	untranslated	item	power			Scripts/General/zzMaw-Items.lua	2265	2	
maw-231709218cf1	untranslated	item	premature ageing			Scripts/General/zzMaw-Items.lua	1260	1	
maw-e81582b9da67	untranslated	item	Primordial			Scripts/General/zzMaw-Items.lua	461	2	
maw-5b252caa0860	untranslated	item	Primordial 			Scripts/General/zzMaw-Items.lua	1735	1	
maw-a6a535b865db	untranslated	item	Ranged			Scripts/General/zzMAW-Skills.lua	352	7	
maw-cce370d2f978	untranslated	item	Rare			Scripts/General/zzMaw-Items.lua	461	2	
